key_mlbam,name_first,name_last
669242,tommy,edman
676914,davis,schneider
670032,nicky,lopez
664040,brandon,lowe
696100,hunter,goodman
694192,jackson,chourio
665828,oswaldo,cabrera
677951,bobby,witt
608385,jesse,winker
668952,ryan,kreidler
692225,kristian,campbell
668939,adley,rutschman
700932,kyle,manzardo
592450,aaron,judge
607732,jacob,stallings
663457,lars,nootbaar
694671,wyatt,langford
593871,jorge,polanco
672386,alejandro,kirk
608701,rob,refsnyder
701305,zach,dezenzo
670224,kameron,misner
656413,stuart,fairchild
676059,jordan,westburg
642136,matt,thaiss
657656,ramón,laureano
669194,ryne,nelson
668715,spencer,steer
621035,chris,taylor
686676,korey,lee
671056,iván,herrera
680716,jonathan,ornelas
666310,bo,naylor
686681,michael,massey
676572,eric,wagaman
666185,dylan,carlson
702616,jackson,holliday
666969,adolis,garcía
665833,oneil,cruz
650333,luis,arráez
516782,starling,marte
663538,nico,hoerner
808982,jung hoo,lee
663993,nathaniel,lowe
620443,luis,torrens
624585,jorge,soler
687401,joey,ortiz
542303,marcell,ozuna
668901,mark,vientos
643376,danny,jansen
609280,miguel,andújar
605170,víctor,caratini
686527,dominic,canzone
664770,nathan,lukes
575929,willson,contreras
592178,kris,bryant
543309,kyle,higashioka
686217,sal,frelick
680718,addison,barger
691728,zac,veen
666160,mickey,moniak
645277,ozzie,albies
666152,david,hamilton
691016,tyler,soderstrom
630105,jake,cronenworth
693304,nick,gonzales
623993,anthony,santander
642350,josé,siri
670764,taylor,walls
656775,cedric,mullins
690993,colt,keith
607680,kevin,pillar
660271,shohei,ohtani
669127,shea,langeliers
672279,michael,siani
606115,orlando,arcia
683002,gunnar,henderson
641555,j. c.,escarra
657757,gavin,sheets
518595,travis,d'arnaud
656941,kyle,schwarber
702176,alan,roden
518692,freddie,freeman
691026,masyn,winn
665804,miguel,amaya
643217,andrew,benintendi
669234,justyn-henry,malloy
683011,anthony,volpe
500743,miguel,rojas
641355,cody,bellinger
672515,gabriel,moreno
621043,carlos,correa
642708,amed,rosario
701538,jackson,merrill
665966,carlos,narváez
669004,mj,melendez
665487,fernando,tatís
668670,jake,rogers
608348,carson,kelly
663647,ke'bryan,hayes
686475,tyler,tolbert
663624,ryan,mountcastle
661388,william,contreras
642201,eli,white
663743,nick,fortes
592669,hunter,renfroe
571448,nolan,arenado
663898,brendan,rodgers
669016,brandon,marsh
681297,colton,cowser
592518,manny,machado
573262,mike,yastrzemski
650402,gleyber,torres
676609,josé,caballero
676439,hunter,feduccia
678554,curtis,mead
670242,matt,wallner
683766,christian,koss
680574,matt,mclain
675659,greg,jones
621439,byron,buxton
669364,xavier,edwards
671277,luis,garcía
678662,ezequiel,tovar
805367,chase,meidroth
680779,henry,davis
640902,jhonny,pereda
671289,tyler,freeman
666134,nolan,jones
681962,vinny,capra
672275,patrick,bailey
677587,brayan,rocchio
669304,josé,miranda
592206,nick,castellanos
650859,luis,rengifo
669701,josh,smith
622569,pablo,reyes
676356,jonny,deluca
664034,ty,france
670042,luke,raley
686948,drake,baldwin
545341,randal,grichuk
669911,michael,toglia
666023,freddy,fermin
681508,mickey,gasper
676391,ernie,clement
656180,riley,adams
669357,nolan,gorman
571771,enrique,hernández
673548,seiya,suzuki
660757,oscar,gonzález
686668,brenton,doyle
650490,yandy,díaz
664238,dylan,moore
682928,cj,abrams
571970,max,muncy
667670,brent,rooker
467793,carlos,santana
642851,austin,wynns
641857,ryan,mcmahon
669208,ryan,bliss
677950,alek,thomas
664702,myles,straw
570482,gio,urshela
670541,yordan,álvarez
502671,paul,goldschmidt
668804,bryan,reynolds
694384,nolan,schanuel
666158,gavin,lux
673237,yainer,diaz
665161,jeremy,peña
670223,matt,mervis
642180,tyler,wade
502054,tommy,pham
518792,jason,heyward
667472,dane,myers
656976,pavin,smith
676694,jake,meyers
672580,maikel,garcía
810938,ben,williamson
682657,angel,martínez
608369,corey,seager
691907,tsung-che,cheng
669720,austin,hays
641933,tyler,o'neill
592885,christian,yelich
645444,josé,herrera
650489,willi,castro
666163,ben,rortvedt
656811,ryan,o'hearn
641487,j. p.,crawford
607208,trea,turner
680474,max,schuemann
572233,christian,walker
572191,michael,taylor
622761,jorge,mateo
691176,jasson,domínguez
665926,andrés,giménez
668930,brice,turang
657136,connor,wong
677800,wilyer,abreu
543877,christian,vázquez
669707,jared,triolo
682985,riley,greene
691594,javier,sanoja
696285,jacob,young
663604,brandon,lockridge
644433,chadwick,tromp
624641,edmundo,sosa
578428,jose,iglesias
666139,josh,lowe
700250,ben,rice
672356,gabriel,arias
681624,andy,pages
641313,tim,anderson
701358,cam,smith
624424,michael,conforto
671732,lawrence,butler
650559,bryan,de la cruz
624415,cavan,biggio
650968,yohel,pozo
666624,christopher,morel
686555,isaac,collins
672724,oswald,peraza
693307,dillon,dingler
678246,miguel,vargas
666397,edouard,julien
680776,jarren,duran
680577,dashawn,keirsey
646240,rafael,devers
669289,santiago,espinal
680777,ryan,jeffers
669261,jack,suwinski
641680,jonah,heim
592663,j. t.,realmuto
691182,adael,amador
694362,blake,dunn
607067,colin,rea
694374,tim,tawa
666176,jo,adell
677594,julio,rodríguez
680757,steven,kwan
664913,seth,brown
664056,harrison,bader
664761,alec,bohm
691023,jordan,walker
641343,jake,bauers
681146,jonah,bride
663586,austin,riley
649966,luis,urías
695578,james,wood
621438,tyrone,taylor
678882,ceddanne,rafaela
691406,junior,caminero
660844,leo,rivas
672744,alexander,canario
660162,yoán,moncada
691718,pete,crow-armstrong
682668,luisangel,acuña
596142,gary,sánchez
688363,graham,pauley
670770,tj,friedl
663728,cal,raleigh
641598,mitch,garver
621512,tomás,nido
665489,vladimir,guerrero
695336,thomas,saggese
643565,mike,tauchman
676475,alec,burleson
596019,francisco,lindor
665839,enmanuel,valdez
493329,yuli,gurriel
622534,manuel,margot
663584,hayden,senger
663616,trevor,larnach
624428,adam,frazier
663757,trent,grisham
669477,casey,schmitt
669221,sean,murphy
543760,marcus,semien
686797,brooks,lee
521692,salvador,pérez
676801,chas,mccormick
543807,george,springer
553869,elías,díaz
666181,will,benson
455117,martín,maldonado
672695,geraldo,perdomo
669003,garrett,mitchell
657041,lane,thomas
645302,víctor,robles
600869,jeimer,candelario
805779,jacob,wilson
683734,andrew,vaughn
664728,kyle,isbel
665155,nick,maton
671286,johnathan,rodríguez
676070,jacob,amaya
681351,logan,o'hoppe
571657,kyle,farmer
666971,lourdes,gurriel
672640,otto,lopez
669394,jake,burger
671221,drew,waters
678225,ji hwan,bae
663853,romy,gonzalez
670623,isaac,paredes
542963,rob,brantly
553993,eugenio,suárez
673357,luis,robert
605131,austin,barnes
553882,omar,narváez
665052,griffin,conine
666018,jonathan,aranda
668709,jj,bleday
621020,dansby,swanson
681082,bryson,stott
671218,heliot,ramos
547180,bryce,harper
642715,willy,adames
596115,trevor,story
647304,josh,naylor
595879,javier,báez
596146,max,kepler
678877,jhonkensy,noel
671739,michael,harris
663698,joey,bart
691777,max,muncy
592192,mark,canha
683737,michael,busch
664023,ian,happ
592626,joc,pederson
665750,leody,taveras
608671,travis,jankowski
700242,trey,sweeney
677347,kyren,paris
596103,austin,slater
623168,tyler,heineman
666165,blake,sabol
643396,isiah,kiner-falefa
669087,sam,huff
456781,donovan,solano
595978,austin,hedges
663697,jonathan,india
656537,derek,hill
682641,luis,matos
687952,christian,encarnacion-strand
672820,lenyn,sosa
656716,zach,mckinstry
605204,j. d.,davis
668227,randy,arozarena
669224,austin,wells
605361,nick,martini
621566,matt,olson
606192,teoscar,hernández
673962,josh,jung
606466,ketel,marte
669398,gage,workman
660688,keibert,ruiz
674441,jacob,hurtubise
679032,johan,rojas
664983,jake,mccarthy
670156,miles,mastrobuoni
665561,rafael,marchán
663656,kyle,tucker
643289,mauricio,dubón
593428,xander,bogaerts
681481,kerry,carpenter
641943,joshua,palacios
641658,garrett,hampson
677008,heston,kjerstad
683146,brett,baty
681460,brooks,baldwin
687957,dustin,harris
663609,luken,baker
807713,matt,shaw
669257,will,smith
672284,jarred,kelenic
628451,andy,ibáñez
682848,endy,rodríguez
686780,pedro,pagés
664774,lamonte,wade
657557,paul,dejong
665742,juan,soto
605137,josh,bell
608070,josé,ramírez
624413,pete,alonso
656582,connor,joe
656248,sean,bouchard
642133,rowdy,tellez
621493,taylor,ward
663796,coco,montes
686611,dylan,crews
679529,spencer,torkelson
608324,alex,bregman
602104,ramón,urías
683083,nasim,nuñez
666182,bo,bichette
677588,josé,tena
660821,jesús,sánchez
669743,alex,call
665019,kody,clemens
689414,liam,hicks
687363,victor,scott
527038,wilmer,flores
682829,elly,de la cruz
514888,josé,altuve
680118,dairon,blanco
542932,jon,berti
665862,jazz,chisholm
545361,mike,trout
663968,jake,mangum
457705,andrew,mccutchen
605141,mookie,betts
686554,oliver,dunn
656305,matt,chapman
669397,nick,allen
695238,will,wagner
677649,ezequiel,duran
666149,tyler,fitzgerald
641584,jake,fraley
607043,brandon,nimmo
686469,vinnie,pasquantino
687597,jordan,beck
606992,eric,haase
595777,jurickson,profar
682622,noelvi,marte
682177,daniel,schneemann
656555,rhys,hoskins
671213,triston,casas
624431,jose,trevino
669065,kyle,stowers
457759,justin,turner
621028,kevin,newman
682998,corbin,carroll
680977,brendan,donovan
702332,caleb,durbin
680700,richie,palacios
700337,edgar,quero
681584,david,villar
681393,connor,norby
802415,chandler,simpson
672359,tirso,ornelas
592696,eddie,rosario
668845,aaron,schunk
657077,alex,verdugo
640492,josé,azocar
687263,zach,neto
702358,trey,lipscomb
807712,luke,keaschall
670276,cal,stevenson
660644,vidal,bruján
690924,braxton,fulford
